date,group,period,ic,pvalue
2023-06-29,A,20,0.5736263736263736,0.03197081397639698
2023-07-06,A,20,0.059340659340659345,0.8403017626906827
2023-07-13,A,20,0.1032967032967033,0.725282211088945
2023-07-20,A,20,-0.11428571428571425,0.6850657626568972
2023-07-27,A,20,-0.27499999999999997,0.3212111733193767
2023-08-03,A,20,0.4428571428571427,0.0982940655468714
2023-08-10,A,20,0.14285714285714282,0.6115222287644655
2023-08-17,A,20,-0.16428571428571426,0.5584973732486012
2023-08-24,A,20,-0.035714285714285705,0.8994469934720875
2023-08-31,A,20,0.021428571428571425,0.9395779040128779
2023-09-07,A,20,-0.1607142857142857,0.5671967045803448
2023-09-14,A,20,-0.06785714285714285,0.8101088187105131
2023-09-21,A,20,-0.2964285714285714,0.28335542843426287
2023-09-28,A,20,-0.04285714285714285,0.8794603130258999
2023-10-12,A,20,-0.09999999999999999,0.7228973252791182
2023-10-19,A,20,0.3428571428571428,0.21092379341475206
2023-10-26,A,20,-0.049999999999999996,0.859540943467457
2023-11-02,A,20,0.24642857142857136,0.37595051597380524
2023-11-09,A,20,0.09285714285714285,0.742045009907367
2023-11-16,A,20,-0.1357142857142857,0.6296204418728145
2023-11-23,A,20,-0.14285714285714282,0.6115222287644655
2023-11-30,A,20,0.4892857142857142,0.06416038631454055
2023-12-07,A,20,0.13214285714285715,0.6387442188840665
2023-12-14,A,20,0.5249999999999999,0.04448390580010643
2023-12-21,A,20,0.2607142857142857,0.34797945986279355
2023-12-28,A,20,-0.3107142857142856,0.2596673973372179
2024-01-04,A,20,-0.3107142857142856,0.2596673973372179
2024-01-11,A,20,-0.27499999999999997,0.3212111733193767
2024-01-18,A,20,-0.1928571428571428,0.4910487016052232
2024-01-25,A,20,0.05357142857142857,0.8496099367776072
2024-02-01,A,20,0.457142857142857,0.08667812662416982
2024-02-08,A,20,0.27499999999999997,0.3212111733193767
2024-02-22,A,20,0.32499999999999996,0.23722543823723408
2024-02-29,A,20,-0.6249999999999999,0.012727453511233668
2024-03-07,A,20,0.2964285714285714,0.28335542843426287
2024-03-14,A,20,0.2642857142857143,0.3411737579900821
2024-03-21,A,20,0.3857142857142856,0.1556307945859602
2024-03-28,A,20,-0.3285714285714285,0.23180969720615968
2024-04-11,A,20,0.17352941176470588,0.5204075144487408
2024-04-18,A,20,0.18529411764705883,0.4920570502059438
2024-04-25,A,20,-0.3323529411764706,0.2084998279822084
2024-05-09,A,20,-0.4205882352941176,0.10476751392918707
2024-05-16,A,20,0.4382352941176471,0.08953003199187995
2024-05-23,A,20,0.22941176470588234,0.39272049088161975
2024-05-30,A,20,0.36764705882352944,0.1612323576755899
2024-06-06,A,20,-0.10882352941176471,0.688288293957414
2024-06-13,A,20,-0.10882352941176471,0.688288293957414
2024-06-20,A,20,-0.23823529411764705,0.3742541297279883
2024-06-27,A,20,-0.1176470588235294,0.6643410791623536
2024-07-04,A,20,0.1264705882352941,0.6406944408168835
2024-07-11,A,20,0.4382352941176471,0.08953003199187995
2024-07-18,A,20,0.4058823529411764,0.11879168453237475
2024-07-25,A,20,-0.07352941176470588,0.7866792491258565
2024-08-01,A,20,0.3147058823529411,0.23515831926634445
2024-08-08,A,20,0.12941176470588234,0.63288233246826
2024-08-15,A,20,-0.023529411764705882,0.931073583667659
2024-08-22,A,20,-0.16176470588235295,0.5494831434036929
2024-08-29,A,20,0.22941176470588234,0.39272049088161975
2024-09-05,A,20,0.02058823529411765,0.9396737397890448
2024-09-12,A,20,-0.35000000000000003,0.18386882202619317
2024-09-19,A,20,-0.36470588235294116,0.16486839724475405
2024-09-26,A,20,-0.26176470588235295,0.3274104118125859
2024-10-10,A,20,-0.7617647058823529,0.000605342838070589
2024-10-17,A,20,-0.75,0.000819764027255587
2024-10-24,A,20,-0.4823529411764706,0.05845897677471956
2024-10-31,A,20,-0.06176470588235294,0.8202418775044894
2024-11-07,A,20,0.08823529411764705,0.7452220943671326
2024-11-14,A,20,0.4735294117647058,0.06391907182682008
2024-11-21,A,20,-0.12352941176470587,0.6485420669723405
2024-11-28,A,20,-0.008823529411764706,0.9741279946623942
2019-08-22,B,5,-0.028571428571428574,0.9571545189504373
2019-08-29,B,5,0.48571428571428577,0.32872303206997094
2019-09-05,B,5,-0.3214285714285715,0.4820720382996776
2019-09-12,B,5,0.1785714285714286,0.7016579425162729
2019-09-19,B,5,0.7999999999999999,0.10408803866182788
2019-10-31,B,5,-1.0,0.0
2019-11-07,B,5,0.19999999999999998,0.8
2019-11-21,B,5,0.39999999999999997,0.6
2019-12-12,B,5,0.3714285714285715,0.46847813411078715
2019-12-19,B,5,-0.3571428571428572,0.4316113520383278
2019-12-26,B,5,0.03571428571428572,0.9394082054712856
2020-01-02,B,5,0.16666666666666669,0.668231040071504
2020-01-09,B,5,0.5833333333333334,0.09918581647988323
2020-01-16,B,5,0.4761904761904762,0.23293553465009798
2020-01-23,B,5,-0.49999999999999994,0.39100221895577053
2020-02-13,B,5,-0.5,0.6666666666666667
2020-02-20,B,5,0.48571428571428577,0.32872303206997094
2020-02-27,B,5,0.3714285714285715,0.46847813411078715
2020-03-05,B,5,-0.39999999999999997,0.5046315754686911
2020-03-12,B,5,0.7999999999999999,0.20000000000000007
2020-04-16,B,5,0.0,1.0
2020-04-23,B,5,0.2,0.704
2020-04-30,B,5,-1.0,0.0
2020-05-07,B,5,-0.14285714285714288,0.7871720116618075
2020-05-14,B,5,-0.3571428571428572,0.4316113520383278
2020-05-21,B,5,0.7142857142857144,0.07134356146753759
2020-06-04,B,5,-0.3142857142857143,0.5440932944606414
2020-06-11,B,5,-0.6,0.28475697986529375
2020-06-18,B,5,-0.7999999999999999,0.10408803866182788
2020-07-02,B,5,0.7142857142857144,0.04652823228416724
2020-07-09,B,5,0.25,0.5164895523012262
2020-07-16,B,5,-0.33333333333333337,0.38071318167686347
2020-07-23,B,5,0.39999999999999997,0.2861051019083129
2020-07-30,B,5,-0.39999999999999997,0.6
2020-08-06,B,5,-0.09999999999999999,0.8728885715695383
2020-08-20,B,5,0.19999999999999998,0.747060078104662
2020-09-03,B,5,1.0,0.0
2020-10-15,B,5,0.3714285714285715,0.46847813411078715
2020-10-22,B,5,-0.39999999999999997,0.6
2020-11-05,B,5,-0.09999999999999999,0.8728885715695383
2020-11-12,B,5,-0.7999999999999999,0.20000000000000007
2020-11-19,B,5,-0.39999999999999997,0.6
2020-11-26,B,5,0.3,0.6238376647810728
2020-12-03,B,5,0.09999999999999999,0.8728885715695383
2020-12-24,B,5,0.5,0.6666666666666667
2020-12-31,B,5,1.0,0.0
2021-01-07,B,5,0.7,0.1881204043741873
2021-01-14,B,5,-0.28571428571428575,0.4927262450169573
2021-01-21,B,5,0.0,1.0
2021-01-28,B,5,0.5,0.6666666666666667
2021-02-04,B,5,1.0,0.0
2021-02-18,B,5,1.0,0.0
2021-04-08,B,5,0.39999999999999997,0.6
2021-04-15,B,5,1.0,0.0
2021-04-22,B,5,-0.49999999999999994,0.39100221895577053
2021-04-29,B,5,0.14285714285714288,0.7871720116618075
2021-05-06,B,5,0.3714285714285715,0.46847813411078715
2021-05-13,B,5,-0.19999999999999998,0.8
2021-05-20,B,5,0.35757575757575755,0.3103760917056799
2021-05-27,B,5,0.2606060606060606,0.4670890543863402
2021-06-03,B,5,-0.26363636363636367,0.4334407376116145
2021-06-10,B,5,-0.6785714285714287,0.0937502539598313
2021-06-17,B,5,-1.0,0.0
2021-06-24,B,5,-0.3142857142857143,0.5440932944606414
2021-07-01,B,5,-0.6000000000000001,0.3999999999999999
2021-07-08,B,5,0.0,1.0
2021-07-15,B,5,-0.6,0.28475697986529375
2021-07-22,B,5,0.7999999999999999,0.10408803866182788
2021-07-29,B,5,0.5,0.6666666666666667
2021-08-05,B,5,0.4285714285714286,0.39650145772594736
2021-08-12,B,5,-0.028571428571428574,0.9571545189504373
2021-08-26,B,5,0.2571428571428572,0.6227871720116618
2021-09-02,B,5,0.0,1.0
2021-09-09,B,5,-0.3142857142857143,0.5440932944606414
2021-09-16,B,5,0.0,1.0
2021-10-14,B,5,0.5,0.6666666666666667
2021-10-21,B,5,1.0,0.0
2021-10-28,B,5,0.0,1.0
2021-11-04,B,5,0.3571428571428572,0.4316113520383278
2021-11-11,B,5,-0.03571428571428572,0.9394082054712856
2021-11-18,B,5,0.25,0.5887244480896833
2021-11-25,B,5,0.5428571428571429,0.26570262390670557
2021-12-02,B,5,0.28571428571428575,0.5345092286010406
2021-12-09,B,5,0.39999999999999997,0.6
