date,scenario,industry_pct,defense_pct,cash_pct,num_industry,num_defense,num_positions,top1_weight,top2_weight,top3_weight,top4_weight,top5_weight,weight_order_top4,score_rank_1_weight,score_rank_2_weight,score_rank_3_weight,score_rank_4_weight,score_rank_1_4_weight,full_position,cash_gt_10pct,cash_gt_20pct
2020-12-18,D,0.5086444061644857,0.0,0.4913555938355144,2,0,2,0.2550986705073295,0.25354573565715616,0.0,0.0,0.0,0.5086444061644857,0.25354573565715616,0.2550986705073295,0.0,0.0,0.5086444061644857,False,True,True
2020-12-21,D,0.511239829212986,0.0,0.488760170787014,2,0,2,0.25713317916804157,0.2541066500449444,0.0,0.0,0.0,0.511239829212986,0.2541066500449444,0.25713317916804157,0.0,0.0,0.511239829212986,False,True,True
2020-12-22,D,0.5099081738036608,0.0,0.4900918261963391,2,0,2,0.2567547361136855,0.2531534376899754,0.0,0.0,0.0,0.5099081738036608,0.2531534376899754,0.2567547361136855,0.0,0.0,0.5099081738036608,False,True,True
2020-12-23,D,0.5102856097323508,0.0,0.4897143902676492,2,0,2,0.25732713387962364,0.2529584758527272,0.0,0.0,0.0,0.5102856097323508,0.2529584758527272,0.25732713387962364,0.0,0.0,0.5102856097323508,False,True,True
2020-12-24,D,0.5091890496812437,0.0,0.4908109503187564,2,0,2,0.25497027768398484,0.25421877199725884,0.0,0.0,0.0,0.5091890496812437,0.25421877199725884,0.0,0.25497027768398484,0.0,0.5091890496812437,False,True,True
2020-12-25,D,0.5130859105009069,0.0,0.4869140894990932,2,0,2,0.2591700805300983,0.2539158299708085,0.0,0.0,0.0,0.5130859105009069,0.2591700805300983,0.0,0.2539158299708085,0.0,0.5130859105009069,False,True,True
2020-12-28,D,0.5143539864563882,0.0,0.4856460135436118,2,0,2,0.2597208444416776,0.25463314201471066,0.0,0.0,0.0,0.5143539864563882,0.25463314201471066,0.0,0.2597208444416776,0.0,0.5143539864563882,False,True,True
2020-12-29,D,0.5113207609077374,0.0,0.48867923909226263,2,0,2,0.259242416111799,0.2520783447959384,0.0,0.0,0.0,0.5113207609077374,0.2520783447959384,0.259242416111799,0.0,0.0,0.5113207609077374,False,True,True
2020-12-30,D,0.5153192209657032,0.0,0.4846807790342968,2,0,2,0.26067826208548645,0.25464095888021676,0.0,0.0,0.0,0.5153192209657032,0.25464095888021676,0.26067826208548645,0.0,0.0,0.5153192209657032,False,True,True
2020-12-31,D,0.9999466008628719,0.0,5.339913712820253e-05,4,0,4,0.2592449154181991,0.2515431657943217,0.24813565237541615,0.2410228672749349,0.0,0.9999466008628719,0.24813565237541615,0.2515431657943217,0.2592449154181991,0.2410228672749349,0.9999466008628719,True,False,False
2021-01-04,D,0.9999490237949575,0.0,5.0976205042371036e-05,4,0,4,0.2590136950532894,0.2543482461617657,0.2445376773390969,0.24204940524080548,0.0,0.9999490237949575,0.2543482461617657,0.2590136950532894,0.24204940524080548,0.2445376773390969,0.9999490237949575,True,False,False
2021-01-05,D,0.9999499662003151,0.0,5.0033799684972735e-05,4,0,4,0.26675487425916167,0.24982657948165576,0.24178984749934573,0.24157866496015187,0.0,0.9999499662003151,0.24982657948165576,0.24157866496015187,0.24178984749934573,0.26675487425916167,0.9999499662003151,True,False,False
2021-01-06,D,0.9999503808860916,0.0,4.96191139084573e-05,4,0,4,0.26528305845973377,0.25044120524542596,0.24378089503091407,0.24044522215001776,0.0,0.9999503808860916,0.25044120524542596,0.26528305845973377,0.24044522215001776,0.24378089503091407,0.9999503808860916,True,False,False
