date,ticker,is_defense,is_gold,is_bond,shares,close_prev,close_t,contribution,market_value,scenario
2023-04-07,515880.SH,False,False,False,909300,0.380879,0.389210,0.004675,346333.666044,B0.4
2023-04-07,511010.SH,True,False,True,2100,126.878000,126.911000,0.000043,266443.800000,B0.4
2023-04-07,515230.SH,False,False,False,300100,1.154000,1.172000,0.003334,346315.400000,B0.4
2023-04-07,512980.SH,False,False,False,373100,0.858000,0.890000,0.007368,320119.800000,B0.4
2023-04-07,512480.SH,False,False,False,313100,1.089000,1.102000,0.002512,340965.900000,B0.4
2023-04-10,515880.SH,False,False,False,909300,0.389210,0.374881,-0.007899,353908.768101,B0.4
2023-04-10,511010.SH,True,False,True,2100,126.911000,127.021000,0.000140,266513.100000,B0.4
2023-04-10,515230.SH,False,False,False,300100,1.172000,1.082000,-0.016374,351717.200000,B0.4
2023-04-10,512980.SH,False,False,False,373100,0.890000,0.843000,-0.010631,332059.000000,B0.4
2023-04-10,512480.SH,False,False,False,313100,1.102000,1.062000,-0.007593,345036.200000,B0.4
2023-04-11,515880.SH,False,False,False,909300,0.374881,0.375548,0.000384,340879.592563,B0.4
2023-04-11,511010.SH,True,False,True,2100,127.021000,127.066000,0.000060,266744.100000,B0.4
2023-04-11,515230.SH,False,False,False,300100,1.082000,1.091000,0.001710,324708.200000,B0.4
2023-04-11,512980.SH,False,False,False,373100,0.843000,0.890000,0.011101,314523.300000,B0.4
2023-04-11,512480.SH,False,False,False,313100,1.062000,1.058000,-0.000793,332512.200000,B0.4
2023-04-12,515880.SH,False,False,False,909300,0.375548,0.386211,0.006063,341485.600728,B0.4
2023-04-12,511010.SH,True,False,True,2100,127.066000,127.099000,0.000043,266838.600000,B0.4
2023-04-12,515230.SH,False,False,False,300100,1.091000,1.120000,0.005442,327409.100000,B0.4
2023-04-12,512980.SH,False,False,False,373100,0.890000,0.939000,0.011431,332059.000000,B0.4
2023-04-12,512480.SH,False,False,False,313100,1.058000,1.074000,0.003132,331259.800000,B0.4
2023-04-13,515880.SH,False,False,False,909300,0.386211,0.369883,-0.009047,351181.731361,B0.4
2023-04-13,511010.SH,True,False,True,2100,127.099000,127.070000,-0.000037,266907.900000,B0.4
2023-04-13,515230.SH,False,False,False,300100,1.120000,1.085000,-0.006401,336112.000000,B0.4
2023-04-13,512980.SH,False,False,False,373100,0.939000,0.920000,-0.004320,350340.900000,B0.4
2023-04-13,512480.SH,False,False,False,313100,1.074000,1.032000,-0.008013,336269.400000,B0.4
2023-04-14,515880.SH,False,False,False,909300,0.369883,0.371882,0.001142,336334.531329,B0.4
2023-04-14,515230.SH,False,False,False,300100,1.085000,1.094000,0.001697,325608.500000,B0.4
2023-04-14,512980.SH,False,False,False,373100,0.920000,0.898000,-0.005157,343252.000000,B0.4
2023-04-14,512480.SH,False,False,False,313100,1.032000,1.085000,0.010426,323119.200000,B0.4
2023-04-14,159996.SZ,False,False,False,239200,1.101000,1.101000,0.000000,263359.200000,B0.4
2023-04-17,515880.SH,False,False,False,909300,0.371882,0.366217,-0.003210,338152.555823,B0.4
2023-04-17,515230.SH,False,False,False,300100,1.094000,1.078000,-0.002992,328309.400000,B0.4
2023-04-17,512980.SH,False,False,False,373100,0.898000,0.863000,-0.008138,335043.800000,B0.4
