date,year,ret_a,ret_c,diff_ret,ind_pct_a,def_pct_a,ind_pct_c,def_pct_c,n_ind_a,n_ind_c,n_def_a,n_def_c,has_5th_a,has_5th_c,has_def_c,regime_name
2021-07-01,2021,-0.015195051038314533,-0.015574649176295918,-0.0003795981379813851,0.811907750293766,0.1719666097503561,0.822969845204934,0.16609455047442878,4,4,1,1,False,False,True,震荡
2021-07-02,2021,-0.014273531780337412,-0.014455287900401625,-0.0001817561200642137,0.8092101272362682,0.17443073006463952,0.8203983997095886,0.1685056000923684,4,4,1,1,False,False,True,震荡
2021-07-05,2021,0.022165306846965827,0.022562338397710935,0.0003970315507451083,0.8133261493572894,0.17066945038620523,0.8243407577092163,0.1648080699158753,4,4,1,1,False,False,True,震荡
2021-07-06,2021,-0.00651308972372977,-0.00666471541282887,-0.00015162568909909968,0.8120511624844631,0.1718395158013184,0.8231127419256368,0.16596328049773046,4,4,1,1,False,False,True,震荡
2021-07-07,2021,0.018752470538880628,0.019017414037567848,0.0002649434986872201,0.8153195605004158,0.16886764671617424,0.826229257554702,0.16305063361678498,4,4,1,1,False,False,True,震荡
2021-07-08,2021,0.012644002452282255,0.012879034430339109,0.00023503197805685438,0.8223100269936782,0.1670100150369289,0.8323695254954225,0.16121957346405902,4,4,1,1,False,False,True,震荡
2021-07-09,2021,0.01164764147452213,0.01158414025483867,-6.350121968345945e-05,0.8242877397057562,0.1651552664047248,0.8342233740478664,0.1594391392464766,4,4,1,1,False,False,True,震荡
2021-07-12,2021,0.022381369496886183,0.02260646433318958,0.00022509483630339666,0.8281010109079816,0.16157310268163302,0.837855992151482,0.15594662212224117,4,4,1,1,False,False,True,震荡
2021-07-13,2021,-0.010786111801587395,-0.01108675154456329,-0.00030063974297589446,0.8258224982349749,0.16373902477478464,0.8356479701617665,0.15808516493784266,4,4,1,1,False,False,True,震荡
2021-07-14,2021,-0.01852738121702535,-0.018677716964556,-0.00015033574753064993,0.8224425582677032,0.16692191630807843,0.8324310153814668,0.1611828411377126,4,4,1,1,False,False,True,震荡
2021-07-15,2021,0.012812164404592874,0.012941407773777724,0.00012924336918485047,0.999954969783878,0.0,0.9999545452485851,0.0,5,5,0,0,True,True,False,震荡
2021-07-16,2021,-0.012024216803053211,-0.012096102011510457,-7.188520845724522e-05,0.9999544217410105,0.0,0.999953988691099,0.0,5,5,0,0,True,True,False,震荡
2021-07-19,2021,-0.003377366631069356,-0.0033356347678793474,4.173186319000877e-05,0.9999542672848644,0.0,0.9999538347005209,0.0,5,5,0,0,True,True,False,震荡
2021-07-20,2021,0.005994663008713319,0.0062428758229844394,0.0002482128142711204,0.9999545398034232,0.0,0.9999541211166924,0.0,5,5,0,0,True,True,False,震荡
2021-07-21,2021,0.03232232272676594,0.03246199364290203,0.00013967091613609206,0.9999559631758648,0.0,0.9999555636104862,0.0,5,5,0,0,True,True,False,震荡
2021-07-22,2021,0.006336327763982297,0.006364509231530091,2.818146754779427e-05,0.8156698674500487,0.16914366200449035,0.8199454016860626,0.1632454608933991,4,4,1,1,False,False,True,震荡
2021-07-23,2021,0.0017934655141393918,0.0017600189944511069,-3.344651968828494e-05,0.8159374165044165,0.1689033006012126,0.8202014712266259,0.16301892377634988,4,4,1,1,False,False,True,震荡
2021-07-26,2021,-0.0007468536507254653,-0.0008244123796773417,-7.755872895187643e-05,0.8153623773297486,0.16946700954808666,0.8196308602520191,0.16357569002310599,4,4,1,1,False,False,True,震荡
2021-07-27,2021,-0.024187752126940687,-0.02429031551075822,-0.00010256338381753327,0.8105651108514053,0.1738882374692051,0.8149276146231601,0.16786086232665534,4,4,1,1,False,False,True,震荡
2021-07-28,2021,-0.017969947076990844,-0.01798874963598751,-1.880255899666672e-05,0.8072943340689911,0.1768745295690257,0.8117262798333708,0.17074691174788192,4,4,1,1,False,False,True,震荡
2021-07-29,2021,0.0408677067014922,0.04097405932000098,0.00010635261850877598,0.6241157011032973,0.1698254582990085,0.62412306146949,0.16392529819500595,3,3,1,1,False,False,True,震荡
2021-07-30,2021,0.005606695185831123,0.005597724443053842,-8.97074277728116e-06,0.6259621932930927,0.16912783386746089,0.6259748347940832,0.16325336731537102,3,3,1,1,False,False,True,震荡
2021-08-02,2021,0.005432229848296277,0.005416855754378558,-1.5374093917719378e-05,0.6275093487015778,0.1686877824861064,0.6275326808384638,0.16283109048263592,3,3,1,1,False,False,True,熊市
2021-08-03,2021,-0.029658413843305254,-0.02965462064405977,3.7931992454831587e-06,0.6162079343113944,0.1737599783083942,0.6162305726676464,0.1677265284440788,3,3,1,1,False,False,True,熊市
2021-08-04,2021,0.02362291370855618,0.023625548720207945,2.635011651763719e-06,0.6251717482991784,0.16964323232755335,0.625191122146867,0.16375230627929577,3,3,1,1,False,False,True,熊市
2021-08-05,2021,0.010791107996510174,0.004739226345337633,-0.0060518816511725415,0.9999314869098734,0.0,0.8094352622343925,0.16291330799495032,5,4,0,1,True,False,True,熊市
2021-08-06,2021,0.0050492170867735275,0.004241262374163224,-0.0008079547126103037,0.9999318311094009,0.0,0.8101936609896982,0.16227169090663238,5,4,0,1,True,False,True,熊市
2021-08-09,2021,-0.014398684892523272,-0.012293651064484545,0.002105033828038727,0.9999308352276379,0.0,0.8082179530566456,0.16390468427038568,5,4,0,1,True,False,True,熊市
2021-08-10,2021,0.005251028032021932,0.005750306037371367,0.000499278005349435,0.9999311965166576,0.0,0.8094693362550505,0.16281268791573525,5,4,0,1,True,False,True,熊市
